Temperature (K)	Pressure (atm)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Surf. Tension (N/m)	Phase
391.57	18.648	0.94437	10.589	496.92	497.12	15.109	36.741	42.409	1522.1	-0.030395	235.34	0.68202	0.055285	liquid
392.20	19.023	0.94387	10.595	499.56	499.76	15.176	36.710	42.419	1521.3	-0.030320	234.02	0.68211	0.055160	liquid
392.82	19.403	0.94337	10.600	502.20	502.41	15.243	36.678	42.430	1520.4	-0.030244	232.72	0.68220	0.055035	liquid
393.44	19.790	0.94287	10.606	504.84	505.06	15.311	36.647	42.440	1519.5	-0.030168	231.43	0.68228	0.054909	liquid
394.07	20.183	0.94237	10.612	507.49	507.70	15.378	36.616	42.450	1518.6	-0.030092	230.15	0.68236	0.054783	liquid
394.69	20.583	0.94186	10.617	510.13	510.35	15.445	36.585	42.461	1517.7	-0.030016	228.89	0.68243	0.054657	liquid
395.31	20.989	0.94135	10.623	512.78	513.00	15.512	36.555	42.472	1516.7	-0.029939	227.64	0.68249	0.054531	liquid
395.94	21.401	0.94085	10.629	515.42	515.65	15.579	36.524	42.482	1515.8	-0.029862	226.40	0.68256	0.054405	liquid
396.56	21.820	0.94033	10.635	518.07	518.30	15.645	36.493	42.493	1514.9	-0.029784	225.17	0.68261	0.054279	liquid
397.18	22.246	0.93982	10.640	520.71	520.95	15.712	36.462	42.504	1513.9	-0.029706	223.96	0.68267	0.054152	liquid
397.81	22.678	0.93931	10.646	523.36	523.61	15.779	36.431	42.515	1512.9	-0.029628	222.76	0.68272	0.054025	liquid
398.43	23.117	0.93879	10.652	526.01	526.26	15.845	36.401	42.526	1512.0	-0.029550	221.57	0.68276	0.053899	liquid
399.05	23.563	0.93828	10.658	528.66	528.91	15.912	36.370	42.538	1511.0	-0.029471	220.39	0.68280	0.053772	liquid
399.68	24.016	0.93776	10.664	531.31	531.57	15.978	36.340	42.549	1510.0	-0.029392	219.23	0.68284	0.053644	liquid
400.30	24.477	0.93724	10.670	533.96	534.22	16.044	36.309	42.561	1509.0	-0.029312	218.07	0.68287	0.053517	liquid
400.92	24.944	0.93671	10.676	536.61	536.88	16.111	36.279	42.572	1508.0	-0.029232	216.93	0.68289	0.053389	liquid
401.54	25.418	0.93619	10.682	539.26	539.54	16.177	36.248	42.584	1507.0	-0.029152	215.80	0.68291	0.053262	liquid
402.17	25.900	0.93567	10.688	541.91	542.19	16.243	36.218	42.596	1505.9	-0.029071	214.68	0.68293	0.053134	liquid
402.79	26.389	0.93514	10.694	544.57	544.85	16.309	36.188	42.608	1504.9	-0.028990	213.57	0.68295	0.053006	liquid
403.41	26.886	0.93461	10.700	547.22	547.51	16.374	36.158	42.620	1503.8	-0.028909	212.48	0.68295	0.052878	liquid
404.04	27.390	0.93408	10.706	549.87	550.17	16.440	36.127	42.632	1502.8	-0.028827	211.39	0.68296	0.052749	liquid
404.66	27.902	0.93355	10.712	552.53	552.83	16.506	36.097	42.645	1501.7	-0.028745	210.31	0.68296	0.052621	liquid
405.28	28.422	0.93301	10.718	555.19	555.49	16.571	36.067	42.657	1500.6	-0.028663	209.25	0.68295	0.052492	liquid
405.91	28.949	0.93248	10.724	557.84	558.16	16.637	36.037	42.670	1499.5	-0.028580	208.19	0.68294	0.052364	liquid
406.53	29.485	0.93194	10.730	560.50	560.82	16.702	36.007	42.683	1498.4	-0.028496	207.15	0.68293	0.052235	liquid
407.15	30.028	0.93140	10.737	563.16	563.48	16.768	35.978	42.695	1497.3	-0.028413	206.11	0.68291	0.052106	liquid
407.78	30.579	0.93086	10.743	565.82	566.15	16.833	35.948	42.708	1496.2	-0.028329	205.09	0.68289	0.051976	liquid
408.40	31.139	0.93032	10.749	568.48	568.82	16.898	35.918	42.722	1495.1	-0.028244	204.07	0.68287	0.051847	liquid
409.02	31.707	0.92978	10.755	571.14	571.48	16.963	35.888	42.735	1494.0	-0.028159	203.07	0.68284	0.051717	liquid
409.65	32.283	0.92923	10.762	573.80	574.15	17.028	35.859	42.748	1492.8	-0.028074	202.07	0.68280	0.051588	liquid
410.27	32.867	0.92868	10.768	576.46	576.82	17.093	35.829	42.762	1491.7	-0.027988	201.08	0.68276	0.051458	liquid
410.89	33.461	0.92814	10.774	579.12	579.49	17.158	35.800	42.775	1490.5	-0.027902	200.11	0.68272	0.051328	liquid
411.52	34.062	0.92758	10.781	581.79	582.16	17.223	35.770	42.789	1489.3	-0.027816	199.14	0.68267	0.051198	liquid
412.14	34.673	0.92703	10.787	584.45	584.83	17.287	35.741	42.803	1488.2	-0.027729	198.18	0.68262	0.051067	liquid
412.76	35.292	0.92648	10.794	587.12	587.50	17.352	35.712	42.817	1487.0	-0.027642	197.23	0.68256	0.050937	liquid
413.39	35.920	0.92592	10.800	589.78	590.17	17.417	35.682	42.831	1485.8	-0.027554	196.29	0.68250	0.050806	liquid
414.01	36.557	0.92537	10.807	592.45	592.85	17.481	35.653	42.845	1484.6	-0.027465	195.36	0.68244	0.050676	liquid
414.63	37.203	0.92481	10.813	595.12	595.52	17.545	35.624	42.860	1483.3	-0.027377	194.43	0.68237	0.050545	liquid
415.26	37.859	0.92425	10.820	597.78	598.20	17.610	35.595	42.874	1482.1	-0.027288	193.52	0.68230	0.050414	liquid
415.88	38.523	0.92369	10.826	600.45	600.88	17.674	35.566	42.889	1480.9	-0.027198	192.61	0.68222	0.050283	liquid
416.50	39.197	0.92312	10.833	603.12	603.55	17.738	35.537	42.904	1479.6	-0.027108	191.71	0.68214	0.050151	liquid
417.13	39.881	0.92256	10.839	605.79	606.23	17.802	35.508	42.919	1478.4	-0.027018	190.82	0.68205	0.050020	liquid
417.75	40.573	0.92199	10.846	608.47	608.91	17.866	35.479	42.934	1477.1	-0.026927	189.94	0.68196	0.049888	liquid
418.37	41.276	0.92142	10.853	611.14	611.59	17.930	35.451	42.949	1475.9	-0.026835	189.06	0.68187	0.049756	liquid
419.00	41.988	0.92085	10.860	613.81	614.27	17.994	35.422	42.965	1474.6	-0.026743	188.20	0.68177	0.049624	liquid
419.62	42.711	0.92028	10.866	616.49	616.96	18.058	35.393	42.980	1473.3	-0.026651	187.34	0.68167	0.049492	liquid
420.24	43.443	0.91971	10.873	619.16	619.64	18.122	35.365	42.996	1472.0	-0.026558	186.48	0.68156	0.049360	liquid
420.86	44.185	0.91913	10.880	621.84	622.33	18.185	35.336	43.012	1470.7	-0.026465	185.64	0.68145	0.049228	liquid
421.49	44.937	0.91855	10.887	624.52	625.01	18.249	35.308	43.028	1469.4	-0.026371	184.80	0.68134	0.049095	liquid
422.11	45.700	0.91798	10.894	627.19	627.70	18.312	35.280	43.044	1468.1	-0.026276	183.98	0.68122	0.048963	liquid
422.73	46.473	0.91740	10.900	629.87	630.39	18.376	35.251	43.060	1466.7	-0.026181	183.15	0.68110	0.048830	liquid
423.36	47.256	0.91681	10.907	632.55	633.08	18.439	35.223	43.076	1465.4	-0.026086	182.34	0.68097	0.048697	liquid
423.98	48.050	0.91623	10.914	635.23	635.77	18.502	35.195	43.093	1464.0	-0.025990	181.53	0.68084	0.048564	liquid
424.60	48.854	0.91564	10.921	637.92	638.46	18.566	35.167	43.109	1462.7	-0.025894	180.73	0.68071	0.048431	liquid
425.23	49.670	0.91506	10.928	640.60	641.15	18.629	35.139	43.126	1461.3	-0.025797	179.94	0.68057	0.048297	liquid
425.85	50.496	0.91447	10.935	643.28	643.84	18.692	35.111	43.143	1460.0	-0.025700	179.15	0.68043	0.048164	liquid
426.47	51.333	0.91388	10.942	645.97	646.54	18.755	35.083	43.160	1458.6	-0.025602	178.37	0.68028	0.048030	liquid
427.10	52.181	0.91329	10.949	648.65	649.23	18.818	35.055	43.178	1457.2	-0.025503	177.60	0.68013	0.047897	liquid
427.72	53.040	0.91269	10.957	651.34	651.93	18.881	35.027	43.195	1455.8	-0.025404	176.84	0.67998	0.047763	liquid
428.34	53.911	0.91210	10.964	654.03	654.63	18.943	34.999	43.213	1454.4	-0.025304	176.08	0.67982	0.047629	liquid
428.97	54.793	0.91150	10.971	656.72	657.33	19.006	34.972	43.230	1453.0	-0.025204	175.32	0.67966	0.047495	liquid
429.59	55.686	0.91090	10.978	659.41	660.03	19.069	34.944	43.248	1451.5	-0.025104	174.58	0.67949	0.047360	liquid
430.21	56.591	0.91030	10.985	662.10	662.73	19.131	34.917	43.266	1450.1	-0.025002	173.84	0.67933	0.047226	liquid
430.84	57.508	0.90970	10.993	664.79	665.43	19.194	34.889	43.285	1448.7	-0.024900	173.10	0.67926	0.047091	liquid
431.46	58.436	0.90910	11.000	667.48	668.13	19.256	34.862	43.303	1447.2	-0.024798	172.37	0.67914	0.046957	liquid
432.08	59.377	0.90849	11.007	670.18	670.84	19.319	34.834	43.321	1445.8	-0.024695	171.65	0.67899	0.046822	liquid
432.71	60.329	0.90788	11.015	672.87	673.54	19.381	34.807	43.340	1444.3	-0.024591	170.94	0.67884	0.046687	liquid
433.33	61.294	0.90727	11.022	675.57	676.25	19.444	34.780	43.359	1442.8	-0.024487	170.23	0.67868	0.046552	liquid
433.95	62.271	0.90666	11.029	678.26	678.96	19.506	34.753	43.378	1441.3	-0.024383	169.52	0.67852	0.046417	liquid
434.58	63.260	0.90605	11.037	680.96	681.67	19.568	34.726	43.397	1439.9	-0.024277	168.82	0.67834	0.046281	liquid
435.20	64.261	0.90544	11.044	683.66	684.38	19.630	34.699	43.416	1438.4	-0.024171	168.13	0.67817	0.046146	liquid
435.82	65.276	0.90482	11.052	686.36	687.09	19.692	34.672	43.436	1436.8	-0.024065	167.44	0.67798	0.046010	liquid
436.45	66.302	0.90420	11.059	689.06	689.81	19.754	34.645	43.456	1435.3	-0.023957	166.76	0.67780	0.045874	liquid
437.07	67.342	0.90358	11.067	691.77	692.52	19.816	34.618	43.476	1433.8	-0.023850	166.09	0.67761	0.045739	liquid
437.69	68.395	0.90296	11.075	694.47	695.24	19.878	34.591	43.496	1432.3	-0.023741	165.42	0.67741	0.045603	liquid
438.32	69.460	0.90234	11.082	697.18	697.96	19.939	34.565	43.516	1430.7	-0.023632	164.75	0.67721	0.045466	liquid
438.94	70.539	0.90172	11.090	699.88	700.68	20.001	34.538	43.536	1429.2	-0.023522	164.09	0.67701	0.045330	liquid
439.56	71.631	0.90109	11.098	702.59	703.40	20.063	34.512	43.557	1427.6	-0.023412	163.44	0.67680	0.045194	liquid
440.18	72.737	0.90046	11.105	705.30	706.12	20.124	34.485	43.577	1426.1	-0.023301	162.79	0.67659	0.045057	liquid
440.81	73.855	0.89983	11.113	708.01	708.84	20.186	34.459	43.598	1424.5	-0.023189	162.15	0.67637	0.044921	liquid
441.43	74.988	0.89920	11.121	710.72	711.56	20.247	34.432	43.619	1422.9	-0.023077	161.51	0.67615	0.044784	liquid
442.05	76.134	0.89857	11.129	713.43	714.29	20.309	34.406	43.640	1421.3	-0.022964	160.88	0.67592	0.044647	liquid
442.68	77.294	0.89793	11.137	716.14	717.02	20.370	34.380	43.662	1419.7	-0.022850	160.25	0.67569	0.044510	liquid
443.30	78.468	0.89730	11.145	718.86	719.74	20.431	34.354	43.683	1418.1	-0.022736	159.62	0.67546	0.044373	liquid
443.92	79.656	0.89666	11.153	721.57	722.47	20.493	34.328	43.705	1416.5	-0.022621	159.00	0.67522	0.044236	liquid
444.55	80.859	0.89602	11.160	724.29	725.21	20.554	34.302	43.727	1414.9	-0.022505	158.39	0.67498	0.044098	liquid
445.17	82.075	0.89538	11.168	727.01	727.94	20.615	34.276	43.749	1413.3	-0.022388	157.78	0.67474	0.043961	liquid
445.79	83.306	0.89473	11.177	729.73	730.67	20.676	34.250	43.772	1411.6	-0.022271	157.18	0.67449	0.043823	liquid
446.42	84.552	0.89409	11.185	732.45	733.41	20.737	34.224	43.794	1410.0	-0.022153	156.58	0.67424	0.043686	liquid
447.04	85.812	0.89344	11.193	735.17	736.14	20.798	34.198	43.817	1408.3	-0.022035	155.98	0.67398	0.043548	liquid
447.66	87.087	0.89279	11.201	737.89	738.88	20.859	34.172	43.840	1406.7	-0.021915	155.39	0.67372	0.043410	liquid
448.29	88.377	0.89214	11.209	740.62	741.62	20.920	34.147	43.863	1405.0	-0.021795	154.81	0.67346	0.043272	liquid
448.91	89.682	0.89149	11.217	743.34	744.36	20.980	34.121	43.886	1403.3	-0.021674	154.22	0.67319	0.043133	liquid
449.53	91.002	0.89083	11.225	746.07	747.11	21.041	34.096	43.910	1401.6	-0.021553	153.65	0.67292	0.042995	liquid
