Temperature (K)	Pressure (atm)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
529.31	43.486	0.022205	45.036	2600.1	2798.6	60.287	25.204	41.880	500.22	27.871	17.662	0.052212	vapor
529.93	43.935	0.022443	44.557	2599.9	2798.3	60.243	25.260	42.069	500.07	27.732	17.685	0.052408	vapor
530.55	44.387	0.022684	44.085	2599.7	2798.0	60.200	25.317	42.260	499.91	27.594	17.709	0.052606	vapor
531.18	44.842	0.022927	43.617	2599.5	2797.7	60.156	25.374	42.452	499.74	27.457	17.733	0.052806	vapor
531.80	45.301	0.023172	43.156	2599.2	2797.3	60.112	25.431	42.647	499.58	27.320	17.757	0.053006	vapor
532.42	45.764	0.023420	42.699	2599.0	2797.0	60.067	25.488	42.844	499.41	27.185	17.781	0.053209	vapor
533.05	46.230	0.023670	42.248	2598.8	2796.7	60.023	25.545	43.042	499.24	27.050	17.805	0.053412	vapor
533.67	46.700	0.023922	41.803	2598.5	2796.3	59.979	25.603	43.242	499.06	26.916	17.830	0.053617	vapor
534.29	47.174	0.024177	41.362	2598.2	2796.0	59.935	25.661	43.445	498.88	26.783	17.854	0.053823	vapor
534.92	47.651	0.024434	40.927	2598.0	2795.6	59.891	25.719	43.649	498.70	26.650	17.878	0.054031	vapor
535.54	48.132	0.024694	40.496	2597.7	2795.2	59.847	25.777	43.856	498.52	26.518	17.903	0.054241	vapor
536.16	48.617	0.024956	40.071	2597.4	2794.8	59.803	25.835	44.065	498.33	26.387	17.927	0.054451	vapor
536.78	49.105	0.025220	39.650	2597.1	2794.4	59.758	25.893	44.276	498.14	26.257	17.952	0.054664	vapor
537.41	49.597	0.025488	39.235	2596.8	2794.0	59.714	25.952	44.489	497.94	26.128	17.977	0.054878	vapor
538.03	50.093	0.025757	38.824	2596.5	2793.6	59.670	26.011	44.704	497.75	25.999	18.001	0.055093	vapor
538.65	50.593	0.026030	38.418	2596.2	2793.1	59.625	26.070	44.922	497.55	25.871	18.026	0.055310	vapor
539.28	51.096	0.026305	38.016	2595.9	2792.7	59.581	26.129	45.142	497.34	25.744	18.051	0.055529	vapor
539.90	51.603	0.026582	37.619	2595.5	2792.2	59.537	26.189	45.364	497.13	25.617	18.076	0.055749	vapor
540.52	52.114	0.026863	37.227	2595.2	2791.8	59.492	26.248	45.589	496.92	25.491	18.101	0.055971	vapor
541.15	52.629	0.027145	36.839	2594.9	2791.3	59.448	26.308	45.816	496.71	25.366	18.126	0.056195	vapor
541.77	53.148	0.027431	36.455	2594.5	2790.8	59.403	26.368	46.045	496.49	25.242	18.151	0.056420	vapor
542.39	53.671	0.027720	36.075	2594.1	2790.3	59.358	26.428	46.278	496.27	25.118	18.177	0.056648	vapor
543.02	54.197	0.028011	35.700	2593.8	2789.8	59.314	26.489	46.512	496.05	24.995	18.202	0.056877	vapor
543.64	54.728	0.028305	35.330	2593.4	2789.3	59.269	26.550	46.750	495.82	24.873	18.228	0.057107	vapor
544.26	55.263	0.028602	34.963	2593.0	2788.8	59.224	26.610	46.989	495.59	24.751	18.253	0.057340	vapor
544.89	55.801	0.028902	34.600	2592.6	2788.2	59.179	26.672	47.232	495.36	24.630	18.279	0.057574	vapor
545.51	56.344	0.029204	34.241	2592.2	2787.7	59.134	26.733	47.478	495.12	24.509	18.305	0.057811	vapor
546.13	56.890	0.029510	33.887	2591.7	2787.1	59.090	26.794	47.726	494.88	24.390	18.331	0.058049	vapor
546.76	57.441	0.029819	33.536	2591.3	2786.5	59.045	26.856	47.977	494.64	24.270	18.357	0.058290	vapor
547.38	57.995	0.030130	33.189	2590.9	2785.9	58.999	26.918	48.231	494.39	24.152	18.383	0.058532	vapor
548.00	58.554	0.030445	32.846	2590.4	2785.3	58.954	26.980	48.488	494.14	24.034	18.409	0.058776	vapor
548.63	59.117	0.030763	32.507	2590.0	2784.7	58.909	27.043	48.748	493.88	23.917	18.435	0.059023	vapor
549.25	59.684	0.031084	32.171	2589.5	2784.1	58.864	27.105	49.011	493.63	23.800	18.462	0.059271	vapor
549.87	60.255	0.031408	31.840	2589.0	2783.4	58.819	27.168	49.277	493.36	23.684	18.488	0.059522	vapor
550.50	60.830	0.031735	31.511	2588.6	2782.8	58.773	27.232	49.546	493.10	23.569	18.515	0.059775	vapor
551.12	61.409	0.032065	31.187	2588.1	2782.1	58.728	27.295	49.819	492.83	23.454	18.542	0.060030	vapor
551.74	61.993	0.032399	30.865	2587.6	2781.4	58.682	27.358	50.095	492.56	23.340	18.568	0.060288	vapor
552.37	62.581	0.032736	30.548	2587.0	2780.8	58.637	27.422	50.374	492.28	23.226	18.595	0.060547	vapor
552.99	63.173	0.033076	30.233	2586.5	2780.1	58.591	27.486	50.657	492.00	23.113	18.622	0.060809	vapor
553.61	63.769	0.033420	29.922	2586.0	2779.3	58.545	27.551	50.944	491.71	23.001	18.650	0.061074	vapor
554.24	64.370	0.033767	29.615	2585.5	2778.6	58.499	27.615	51.234	491.43	22.889	18.677	0.061341	vapor
554.86	64.975	0.034117	29.311	2584.9	2777.9	58.453	27.680	51.527	491.13	22.778	18.705	0.061610	vapor
555.48	65.584	0.034471	29.009	2584.3	2777.1	58.407	27.745	51.824	490.84	22.667	18.732	0.061882	vapor
556.10	66.198	0.034829	28.712	2583.8	2776.3	58.361	27.811	52.126	490.54	22.557	18.760	0.062157	vapor
556.73	66.816	0.035190	28.417	2583.2	2775.6	58.315	27.876	52.431	490.24	22.447	18.788	0.062434	vapor
557.35	67.438	0.035555	28.125	2582.6	2774.8	58.269	27.942	52.740	489.93	22.338	18.816	0.062714	vapor
557.97	68.065	0.035924	27.837	2582.0	2774.0	58.222	28.008	53.053	489.62	22.230	18.844	0.062996	vapor
558.60	68.696	0.036296	27.551	2581.4	2773.1	58.176	28.075	53.370	489.30	22.122	18.872	0.063282	vapor
559.22	69.332	0.036672	27.269	2580.7	2772.3	58.129	28.141	53.691	488.98	22.014	18.901	0.063570	vapor
559.84	69.973	0.037051	26.990	2580.1	2771.5	58.083	28.208	54.017	488.66	21.907	18.929	0.063861	vapor
560.47	70.617	0.037435	26.713	2579.4	2770.6	58.036	28.275	54.347	488.33	21.801	18.958	0.064155	vapor
561.09	71.267	0.037823	26.439	2578.8	2769.7	57.989	28.343	54.682	488.00	21.695	18.987	0.064452	vapor
561.71	71.921	0.038214	26.168	2578.1	2768.8	57.942	28.411	55.021	487.67	21.589	19.016	0.064753	vapor
562.34	72.579	0.038610	25.900	2577.4	2767.9	57.895	28.479	55.365	487.33	21.484	19.045	0.065056	vapor
562.96	73.242	0.039009	25.635	2576.7	2767.0	57.848	28.547	55.713	486.98	21.380	19.074	0.065363	vapor
563.58	73.910	0.039413	25.372	2576.0	2766.0	57.801	28.616	56.067	486.63	21.276	19.104	0.065672	vapor
564.21	74.582	0.039821	25.113	2575.3	2765.1	57.753	28.685	56.426	486.28	21.172	19.133	0.065986	vapor
564.83	75.259	0.040233	24.855	2574.6	2764.1	57.706	28.754	56.789	485.92	21.069	19.163	0.066302	vapor
565.45	75.941	0.040649	24.601	2573.8	2763.1	57.658	28.823	57.158	485.56	20.967	19.193	0.066623	vapor
566.08	76.627	0.041070	24.349	2573.1	2762.1	57.610	28.893	57.533	485.20	20.865	19.223	0.066946	vapor
566.70	77.318	0.041495	24.099	2572.3	2761.1	57.562	28.963	57.912	484.83	20.763	19.254	0.067274	vapor
567.32	78.014	0.041924	23.852	2571.5	2760.1	57.514	29.034	58.298	484.45	20.662	19.284	0.067605	vapor
567.95	78.715	0.042358	23.608	2570.7	2759.0	57.466	29.104	58.689	484.07	20.561	19.315	0.067940	vapor
568.57	79.420	0.042797	23.366	2569.9	2758.0	57.418	29.175	59.086	483.69	20.461	19.346	0.068279	vapor
569.19	80.131	0.043240	23.127	2569.1	2756.9	57.370	29.247	59.489	483.30	20.361	19.377	0.068622	vapor
569.82	80.846	0.043688	22.889	2568.3	2755.8	57.321	29.318	59.898	482.91	20.261	19.409	0.068969	vapor
570.44	81.566	0.044141	22.655	2567.5	2754.7	57.272	29.390	60.313	482.51	20.162	19.440	0.069320	vapor
571.06	82.291	0.044599	22.422	2566.6	2753.6	57.224	29.463	60.735	482.11	20.064	19.472	0.069676	vapor
571.69	83.021	0.045061	22.192	2565.7	2752.4	57.175	29.535	61.163	481.70	19.965	19.504	0.070036	vapor
572.31	83.756	0.045529	21.964	2564.8	2751.2	57.125	29.609	61.599	481.29	19.868	19.536	0.070400	vapor
572.93	84.496	0.046001	21.738	2563.9	2750.1	57.076	29.682	62.041	480.88	19.770	19.568	0.070770	vapor
573.56	85.241	0.046479	21.515	2563.0	2748.9	57.027	29.756	62.490	480.45	19.673	19.601	0.071143	vapor
574.18	85.991	0.046962	21.294	2562.1	2747.6	56.977	29.830	62.946	480.03	19.576	19.634	0.071522	vapor
574.80	86.746	0.047450	21.075	2561.2	2746.4	56.927	29.904	63.410	479.60	19.480	19.667	0.071905	vapor
575.42	87.506	0.047944	20.858	2560.2	2745.1	56.877	29.979	63.882	479.16	19.384	19.700	0.072294	vapor
576.05	88.271	0.048443	20.643	2559.2	2743.9	56.827	30.054	64.361	478.72	19.289	19.734	0.072688	vapor
576.67	89.042	0.048947	20.430	2558.2	2742.6	56.777	30.129	64.849	478.27	19.194	19.767	0.073087	vapor
577.29	89.817	0.049457	20.219	2557.2	2741.3	56.727	30.205	65.345	477.82	19.099	19.802	0.073492	vapor
577.92	90.598	0.049973	20.011	2556.2	2739.9	56.676	30.281	65.849	477.37	19.004	19.836	0.073902	vapor
578.54	91.384	0.050495	19.804	2555.2	2738.6	56.625	30.358	66.362	476.90	18.910	19.870	0.074318	vapor
579.16	92.175	0.051022	19.599	2554.2	2737.2	56.574	30.435	66.884	476.44	18.817	19.905	0.074740	vapor
579.79	92.971	0.051556	19.396	2553.1	2735.8	56.523	30.512	67.415	475.97	18.723	19.940	0.075167	vapor
580.41	93.773	0.052095	19.196	2552.0	2734.4	56.472	30.590	67.955	475.49	18.630	19.976	0.075602	vapor
581.03	94.580	0.052641	18.997	2550.9	2733.0	56.420	30.668	68.505	475.00	18.537	20.012	0.076042	vapor
581.66	95.393	0.053193	18.799	2549.8	2731.5	56.368	30.747	69.065	474.52	18.445	20.048	0.076489	vapor
582.28	96.210	0.053751	18.604	2548.7	2730.0	56.316	30.826	69.636	474.02	18.353	20.084	0.076943	vapor
582.90	97.034	0.054316	18.411	2547.5	2728.5	56.264	30.905	70.217	473.52	18.261	20.120	0.077403	vapor
583.53	97.862	0.054888	18.219	2546.4	2727.0	56.212	30.985	70.808	473.02	18.170	20.157	0.077871	vapor
584.15	98.696	0.055466	18.029	2545.2	2725.5	56.159	31.065	71.411	472.50	18.078	20.195	0.078346	vapor
584.77	99.536	0.056051	17.841	2544.0	2723.9	56.106	31.146	72.025	471.99	17.987	20.232	0.078828	vapor
585.40	100.38	0.056643	17.655	2542.8	2722.3	56.053	31.227	72.652	471.46	17.897	20.270	0.079318	vapor
586.02	101.23	0.057242	17.470	2541.5	2720.7	56.000	31.309	73.290	470.93	17.806	20.308	0.079816	vapor
586.64	102.09	0.057848	17.287	2540.3	2719.1	55.947	31.391	73.941	470.40	17.716	20.347	0.080323	vapor
587.27	102.95	0.058461	17.105	2539.0	2717.4	55.893	31.473	74.605	469.86	17.626	20.386	0.080837	vapor
587.89	103.82	0.059082	16.926	2537.7	2715.8	55.839	31.556	75.282	469.31	17.537	20.425	0.081360	vapor
588.51	104.69	0.059710	16.748	2536.4	2714.1	55.784	31.639	75.972	468.76	17.447	20.465	0.081892	vapor
589.14	105.57	0.060347	16.571	2535.1	2712.3	55.730	31.723	76.677	468.20	17.358	20.505	0.082433	vapor
589.76	106.45	0.060991	16.396	2533.7	2710.6	55.675	31.808	77.397	467.63	17.270	20.545	0.082984	vapor
590.38	107.34	0.061642	16.223	2532.4	2708.8	55.620	31.893	78.132	467.06	17.181	20.586	0.083544	vapor
591.01	108.24	0.062303	16.051	2531.0	2707.0	55.565	31.978	78.882	466.48	17.093	20.628	0.084114	vapor
591.63	109.14	0.062971	15.880	2529.5	2705.2	55.509	32.064	79.648	465.89	17.004	20.669	0.084695	vapor
592.25	110.05	0.063648	15.711	2528.1	2703.3	55.453	32.150	80.431	465.30	16.916	20.711	0.085286	vapor
592.88	110.96	0.064333	15.544	2526.7	2701.4	55.397	32.237	81.231	464.70	16.829	20.754	0.085887	vapor
